Title,Author,Author Affiliation,Source,Publication Year,Volume and Issue,Pages,Issue Date,Monograph Title,Database,Summary,Published Date,Link
"Sub-seasonal forecasting with a large ensemble of deep-learning weather
  prediction models","Jonathan A. Weyn, Dale R. Durran, Rich Caruana, Nathaniel Cresswell-Clay",N/A,ArXiv,2021,N/A,N/A,2021-02-09T20:14:43Z,N/A,ArXiv,"  We present an ensemble prediction system using a Deep Learning Weather
Prediction (DLWP) model that recursively predicts key atmospheric variables
with six-hour time resolution. This model uses convolutional neural networks
(CNNs) on a cubed sphere grid to produce global forecasts. The approach is
computationally efficient, requiring just three minutes on a single GPU to
produce a 320-member set of six-week forecasts at 1.4{\deg} resolution.
Ensemble spread is primarily produced by randomizing the CNN training process
to create a set of 32 DLWP models with slightly different learned weights.
Although our DLWP model does not forecast precipitation, it does forecast total
column water vapor, and it gives a reasonable 4.5-day deterministic forecast of
Hurricane Irma. In addition to simulating mid-latitude weather systems, it
spontaneously generates tropical cyclones in a one-year free-running
simulation. Averaged globally and over a two-year test set, the ensemble mean
RMSE retains skill relative to climatology beyond two-weeks, with anomaly
correlation coefficients remaining above 0.6 through six days. Our primary
application is to subseasonal-to-seasonal (S2S) forecasting at lead times from
two to six weeks. Current forecast systems have low skill in predicting one- or
2-week-average weather patterns at S2S time scales. The continuous ranked
probability score (CRPS) and the ranked probability skill score (RPSS) show
that the DLWP ensemble is only modestly inferior in performance to the European
Centre for Medium Range Weather Forecasts (ECMWF) S2S ensemble over land at
lead times of 4 and 5-6 weeks. At shorter lead times, the ECMWF ensemble
performs better than DLWP.
",2021-02-09T20:14:43Z,http://arxiv.org/abs/2102.05107v1
"DUNE: A Machine Learning Deep UNet++ based Ensemble Approach to Monthly,
  Seasonal and Annual Climate Forecasting","Pratik Shukla, Milton Halem",N/A,ArXiv,2024,N/A,N/A,2024-08-12T16:22:30Z,N/A,ArXiv,"  Capitalizing on the recent availability of ERA5 monthly averaged long-term
data records of mean atmospheric and climate fields based on high-resolution
reanalysis, deep-learning architectures offer an alternative to physics-based
daily numerical weather predictions for subseasonal to seasonal (S2S) and
annual means. A novel Deep UNet++-based Ensemble (DUNE) neural architecture is
introduced, employing multi-encoder-decoder structures with residual blocks.
When initialized from a prior month or year, this architecture produced the
first AI-based global monthly, seasonal, or annual mean forecast of 2-meter
temperatures (T2m) and sea surface temperatures (SST). ERA5 monthly mean data
is used as input for T2m over land, SST over oceans, and solar radiation at the
top of the atmosphere for each month of 40 years to train the model. Validation
forecasts are performed for an additional two years, followed by five years of
forecast evaluations to account for natural annual variability. AI-trained
inference forecast weights generate forecasts in seconds, enabling ensemble
seasonal forecasts. Root Mean Squared Error (RMSE), Anomaly Correlation
Coefficient (ACC), and Heidke Skill Score (HSS) statistics are presented
globally and over specific regions. These forecasts outperform persistence,
climatology, and multiple linear regression for all domains. DUNE forecasts
demonstrate comparable statistical accuracy to NOAA's operational monthly and
seasonal probabilistic outlook forecasts over the US but at significantly
higher resolutions. RMSE and ACC error statistics for other recent AI-based
daily forecasts also show superior performance for DUNE-based forecasts. The
DUNE model's application to an ensemble data assimilation cycle shows
comparable forecast accuracy with a single high-resolution model, potentially
eliminating the need for retraining on extrapolated datasets.
",2024-08-12T16:22:30Z,http://arxiv.org/abs/2408.06262v1
"Learning and Dynamical Models for Sub-seasonal Climate Forecasting:
  Comparison and Collaboration","Sijie He, Xinyan Li, Laurie Trenary, Benjamin A Cash, Timothy DelSole, Arindam Banerjee",N/A,ArXiv,2021,N/A,N/A,2021-09-29T06:34:34Z,N/A,ArXiv,"  Sub-seasonal climate forecasting (SSF) is the prediction of key climate
variables such as temperature and precipitation on the 2-week to 2-month time
horizon. Skillful SSF would have substantial societal value in areas such as
agricultural productivity, hydrology and water resource management, and
emergency planning for extreme events such as droughts and wildfires. Despite
its societal importance, SSF has stayed a challenging problem compared to both
short-term weather forecasting and long-term seasonal forecasting. Recent
studies have shown the potential of machine learning (ML) models to advance
SSF. In this paper, for the first time, we perform a fine-grained comparison of
a suite of modern ML models with start-of-the-art physics-based dynamical
models from the Subseasonal Experiment (SubX) project for SSF in the western
contiguous United States. Additionally, we explore mechanisms to enhance the ML
models by using forecasts from dynamical models. Empirical results illustrate
that, on average, ML models outperform dynamical models while the ML models
tend to be conservatives in their forecasts compared to the SubX models.
Further, we illustrate that ML models make forecasting errors under extreme
weather conditions, e.g., cold waves due to the polar vortex, highlighting the
need for separate models for extreme events. Finally, we show that suitably
incorporating dynamical model forecasts as inputs to ML models can
substantially improve the forecasting performance of the ML models. The SSF
dataset constructed for the work, dynamical model predictions, and code for the
ML models are released along with the paper for the benefit of the broader
machine learning community.
",2021-09-29T06:34:34Z,http://arxiv.org/abs/2110.05196v1
"FourCastNet: A Global Data-driven High-resolution Weather Model using
  Adaptive Fourier Neural Operators","Jaideep Pathak, Shashank Subramanian, Peter Harrington, Sanjeev Raja, Ashesh Chattopadhyay, Morteza Mardani, Thorsten Kurth, David Hall, Zongyi Li, Kamyar Azizzadenesheli, Pedram Hassanzadeh, Karthik Kashinath, Animashree Anandkumar",N/A,ArXiv,2022,N/A,N/A,2022-02-22T22:19:35Z,N/A,ArXiv,"  FourCastNet, short for Fourier Forecasting Neural Network, is a global
data-driven weather forecasting model that provides accurate short to
medium-range global predictions at $0.25^{\circ}$ resolution. FourCastNet
accurately forecasts high-resolution, fast-timescale variables such as the
surface wind speed, precipitation, and atmospheric water vapor. It has
important implications for planning wind energy resources, predicting extreme
weather events such as tropical cyclones, extra-tropical cyclones, and
atmospheric rivers. FourCastNet matches the forecasting accuracy of the ECMWF
Integrated Forecasting System (IFS), a state-of-the-art Numerical Weather
Prediction (NWP) model, at short lead times for large-scale variables, while
outperforming IFS for variables with complex fine-scale structure, including
precipitation. FourCastNet generates a week-long forecast in less than 2
seconds, orders of magnitude faster than IFS. The speed of FourCastNet enables
the creation of rapid and inexpensive large-ensemble forecasts with thousands
of ensemble-members for improving probabilistic forecasting. We discuss how
data-driven deep learning models such as FourCastNet are a valuable addition to
the meteorology toolkit to aid and augment NWP models.
",2022-02-22T22:19:35Z,http://arxiv.org/abs/2202.11214v1
"FengWu-GHR: Learning the Kilometer-scale Medium-range Global Weather
  Forecasting","Tao Han, Song Guo, Fenghua Ling, Kang Chen, Junchao Gong, Jingjia Luo, Junxia Gu, Kan Dai, Wanli Ouyang, Lei Bai",N/A,ArXiv,2024,N/A,N/A,2024-01-28T13:23:25Z,N/A,ArXiv,"  Kilometer-scale modeling of global atmosphere dynamics enables fine-grained
weather forecasting and decreases the risk of disastrous weather and climate
activity. Therefore, building a kilometer-scale global forecast model is a
persistent pursuit in the meteorology domain. Active international efforts have
been made in past decades to improve the spatial resolution of numerical
weather models. Nonetheless, developing the higher resolution numerical model
remains a long-standing challenge due to the substantial consumption of
computational resources. Recent advances in data-driven global weather
forecasting models utilize reanalysis data for model training and have
demonstrated comparable or even higher forecasting skills than numerical
models. However, they are all limited by the resolution of reanalysis data and
incapable of generating higher-resolution forecasts. This work presents
FengWu-GHR, the first data-driven global weather forecasting model running at
the 0.09$^{\circ}$ horizontal resolution. FengWu-GHR introduces a novel
approach that opens the door for operating ML-based high-resolution forecasts
by inheriting prior knowledge from a pretrained low-resolution model. The
hindcast of weather prediction in 2022 indicates that FengWu-GHR is superior to
the IFS-HRES. Furthermore, evaluations on station observations and case studies
of extreme events support the competitive operational forecasting skill of
FengWu-GHR at the high resolution.
",2024-01-28T13:23:25Z,http://arxiv.org/abs/2402.00059v1
"Pangu-Weather: A 3D High-Resolution Model for Fast and Accurate Global
  Weather Forecast","Kaifeng Bi, Lingxi Xie, Hengheng Zhang, Xin Chen, Xiaotao Gu, Qi Tian",N/A,ArXiv,2022,N/A,N/A,2022-11-03T17:19:43Z,N/A,ArXiv,"  In this paper, we present Pangu-Weather, a deep learning based system for
fast and accurate global weather forecast. For this purpose, we establish a
data-driven environment by downloading $43$ years of hourly global weather data
from the 5th generation of ECMWF reanalysis (ERA5) data and train a few deep
neural networks with about $256$ million parameters in total. The spatial
resolution of forecast is $0.25^\circ\times0.25^\circ$, comparable to the ECMWF
Integrated Forecast Systems (IFS). More importantly, for the first time, an
AI-based method outperforms state-of-the-art numerical weather prediction (NWP)
methods in terms of accuracy (latitude-weighted RMSE and ACC) of all factors
(e.g., geopotential, specific humidity, wind speed, temperature, etc.) and in
all time ranges (from one hour to one week). There are two key strategies to
improve the prediction accuracy: (i) designing a 3D Earth Specific Transformer
(3DEST) architecture that formulates the height (pressure level) information
into cubic data, and (ii) applying a hierarchical temporal aggregation
algorithm to alleviate cumulative forecast errors. In deterministic forecast,
Pangu-Weather shows great advantages for short to medium-range forecast (i.e.,
forecast time ranges from one hour to one week). Pangu-Weather supports a wide
range of downstream forecast scenarios, including extreme weather forecast
(e.g., tropical cyclone tracking) and large-member ensemble forecast in
real-time. Pangu-Weather not only ends the debate on whether AI-based methods
can surpass conventional NWP methods, but also reveals novel directions for
improving deep learning weather forecast systems.
",2022-11-03T17:19:43Z,http://arxiv.org/abs/2211.02556v1
"Lightning-Fast Convective Outlooks: Predicting Severe Convective
  Environments with Global AI-based Weather Models","Monika Feldmann, Tom Beucler, Milton Gomez, Olivia Martius",N/A,ArXiv,2024,N/A,N/A,2024-06-13T07:46:03Z,N/A,ArXiv,"  Severe convective storms are among the most dangerous weather phenomena and
accurate forecasts mitigate their impacts. The recently released suite of
AI-based weather models produces medium-range forecasts within seconds, with a
skill similar to state-of-the-art operational forecasts for variables on single
levels. However, predicting severe thunderstorm environments requires accurate
combinations of dynamic and thermodynamic variables and the vertical structure
of the atmosphere. Advancing the assessment of AI-models towards process-based
evaluations lays the foundation for hazard-driven applications. We assess the
forecast skill of three top-performing AI-models for convective parameters at
lead-times of up to 10 days against reanalysis and ECMWF's operational
numerical weather prediction model IFS. In a case study and seasonal analyses,
we see the best performance by GraphCast and Pangu-Weather: these models match
or even exceed the performance of IFS for instability and shear. This opens
opportunities for fast and inexpensive predictions of severe weather
environments.
",2024-06-13T07:46:03Z,http://arxiv.org/abs/2406.09474v2
Global Extreme Heat Forecasting Using Neural Weather Models,"Ignacio Lopez-Gomez, Amy McGovern, Shreya Agrawal, Jason Hickey",N/A,ArXiv,2022,N/A,N/A,2022-05-23T00:35:23Z,N/A,ArXiv,"  Heat waves are projected to increase in frequency and severity with global
warming. Improved warning systems would help reduce the associated loss of
lives, wildfires, power disruptions, and reduction in crop yields. In this
work, we explore the potential for deep learning systems trained on historical
data to forecast extreme heat on short, medium and subseasonal timescales. To
this purpose, we train a set of neural weather models (NWMs) with convolutional
architectures to forecast surface temperature anomalies globally, 1 to 28 days
ahead, at $\sim200~\mathrm{km}$ resolution and on the cubed sphere. The NWMs
are trained using the ERA5 reanalysis product and a set of candidate loss
functions, including the mean squared error and exponential losses targeting
extremes. We find that training models to minimize custom losses tailored to
emphasize extremes leads to significant skill improvements in the heat wave
prediction task, compared to NWMs trained on the mean squared error loss. This
improvement is accomplished with almost no skill reduction in the general
temperature prediction task, and it can be efficiently realized through
transfer learning, by re-training NWMs with the custom losses for a few epochs.
In addition, we find that the use of a symmetric exponential loss reduces the
smoothing of NWM forecasts with lead time. Our best NWM is able to outperform
persistence in a regressive sense for all lead times and temperature anomaly
thresholds considered, and shows positive regressive skill compared to the
ECMWF subseasonal-to-seasonal control forecast after two weeks.
",2022-05-23T00:35:23Z,http://arxiv.org/abs/2205.10972v2
"Leveraging data-driven weather models for improving numerical weather
  prediction skill through large-scale spectral nudging","Syed Zahid Husain, Leo Separovic, Jean-François Caron, Rabah Aider, Mark Buehner, Stéphane Chamberland, Ervig Lapalme, Ron McTaggart-Cowan, Christopher Subich, Paul A. Vaillancourt, Jing Yang, Ayrton Zadra",N/A,ArXiv,2024,N/A,N/A,2024-07-08T16:39:25Z,N/A,ArXiv,"  Operational meteorological forecasting has long relied on physics-based
numerical weather prediction (NWP) models. Recently, this landscape is facing
disruption by the advent of data-driven artificial intelligence (AI)-based
weather models, which offer tremendous computational performance and
competitive forecasting skill. However, data-driven models for medium-range
forecasting generally suffer from major limitations, including low effective
resolution and a narrow range of predicted variables. This study illustrates
the relative strengths and weaknesses of these competing paradigms using the
GEM (Global Environmental Multiscale) and GraphCast models to represent
physics-based and AI-based approaches, respectively. By analyzing global
predictions from these two models against observations and analyses in both
physical and spectral spaces, this study demonstrates that GraphCast-predicted
large scales outperform GEM, particularly for longer lead times. Building on
this insight, a hybrid NWP-AI system is proposed, wherein GEM-predicted
large-scale state variables are spectrally nudged toward GraphCast predictions,
while allowing GEM to freely generate fine-scale details critical for weather
extremes. Results indicate that this hybrid approach is capable of leveraging
the strengths of GraphCast to enhance the prediction skill of the GEM model.
Importantly, trajectories of tropical cyclones are predicted with enhanced
accuracy without significant changes in intensity. Furthermore, this new hybrid
system ensures that meteorologists have access to a complete set of forecast
variables, including those relevant for high-impact weather events.
",2024-07-08T16:39:25Z,http://arxiv.org/abs/2407.06100v2
"Improving forecasts of precipitation extremes over Northern and Central
  Italy using machine learning","Federico Grazzini, Joshua Dorrington, Christian M. Grams, George C. Craig, Linus Magnusson, Frederic Vitart",N/A,ArXiv,2024,N/A,N/A,2024-02-09T16:57:31Z,N/A,ArXiv,"  The accurate prediction of intense precipitation events is one of the main
objectives of operational weather services. This task is even more relevant
nowadays, with the rapid progression of global warming which intensifies these
events. Numerical weather prediction models have improved continuously over
time, providing uncertainty estimation with dynamical ensembles. However,
direct precipitation forecasting is still challenging. Greater availability of
machine learning tools paves the way to a hybrid forecasting approach, with the
optimal combination of physical models, event statistics, and user-oriented
post-processing. Here we describe a specific chain, based on a random forest
pipeline, specialised in recognizing favourable synoptic conditions leading to
precipitation extremes and subsequently classifying extremes into predefined
types. The application focuses on Northern and Central Italy, taken as a
testbed region, but is seamlessly extensible to other regions and timescales.
The system is called MaLCoX (Machine Learning model predicting Conditions for
eXtreme precipitation) and is running daily at the Italian regional weather
service of ARPAE Emilia-Romagna. MalCoX has been trained with the ARCIS gridded
high-resolution precipitation dataset as the target truth, using the last 20
years of the ECMWF re-forecast dataset as input predictors. We show that, with
a long enough training period, the optimal blend of larger-scale information
with direct model output improves the probabilistic forecast accuracy of
extremes in the medium range. In addition, with specific methods, we provide a
useful diagnostic to convey to forecasters the underlying physical storyline
which makes a meteorological event extreme.
",2024-02-09T16:57:31Z,http://arxiv.org/abs/2402.06542v1
